"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"YCB","Your Community Bankshares, Inc.","29.4","158909322.6","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ycb",
"YRCW","YRC Worldwide, Inc.","15.7","514220859.7","n/a","United States","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/yrcw",
"YUM","Yum! Brands, Inc.","80.95","34906090162.95","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/yum",
"YUMA^A","Yuma Energy, Inc.","8.2","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/yuma^a",
"YUMA","Yuma Energy, Inc.","0.46","32926777.92","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
"ZFGN","Zafgen, Inc.","39.64","1075174152.6","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","7.16","211108490.16","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/zagg",
"ZFC","ZAIS Financial Corp.","14.38","114621340.68","n/a","United States","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/zfc",
"ZAIS","ZAIS Group Holdings, Inc.","5.91","83159119.47","n/a","United States","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/zais",
"ZAYO","Zayo Group Holdings, Inc.","27.93","6787232404.47","n/a","United States","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zayo",
"ZAZA","ZaZa Energy Corporation","0.38","5229211.92","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zaza",
"ZBRA","Zebra Technologies Corporation","80.21","4176846235.64","n/a","United States","1991","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/zbra",
