SYMBOL,NAME,EXCHANGE
PDAX.LS,COMS DAX IC,LIS
PIO,POWERSHARES GLOBAL WATER ETF,PCX
FNDX,SCHWAB FUNDAMENTAL US LARGE COMPANY ETF,PCX
DXSA.HM,DBXT ESS D30 1D,HAM
PIN,POWERSHARES INDIA ETF,PCX
IUTCF,IUNITS S&P;/TSX GLOBA,PNK
JPEUBH.SW,UBS ETF MJ100HE AC,EBS
HFP-A.TO,HORIZONS ACTIVE FLT RATE PREF A,TOR
ENY,GUGGENHEIM CANADIAN ENERGY INCOME ETF,PCX
UXM-D.TO,FA MORNINGSTR US DIV TGT 50 UNH,TOR
JPCHBH.SW,UBS ETF MJ100HC AC,EBS
13679406.AS,RBS M A EFEXSA C,AMS
12OZ.L,MOUWASAT/HSBC 15ELN,LSE
ESR,ISHARES MSCI EMERG MKTS EASTERN EUR,PCX
22374953.SW,UBS AUS AUD-A-ACC,EBS
LYTNOW.SW,MUL LY W INF T CC,EBS
ESCEUA.SW,UBS ETF EMU SMC AD,EBS
KSMCR-D1.TA,USD/KSMCR CD S1,TLV
44CR.L,WIP/HSBC WT19,LSE
94PN.L,YOUNG/HSBC WT20,LSE
17RX.L,MARUTI/HSBC 16,LSE
VXIS.L,IPATH S&P; 500 VIX SHRT-TRM FUT (DE) ETN,LSE
RGLDSH.SW,RAIFFETF-SGOLDHCHFH,EBS
12600855.F,ARCELOR 21 SRN,FRA
LCAU.L,MULTI UNITS LUXEMBOURG LYXOR ET,LSE
XSPS.MI,DBX S&P500; SH 1C,MIL
EXX4.MU,IS EUR STX H C,MUN
C10.MI,A GR 10-15 UC ETF C,MIL
LYY2.HM,L UCITS ETF MSCI,HAM
EL4Z.F,DK MSCI US ETF,FRA
X024.F,COMS M EU LG IC,FRA
EWL,ISHARES MSCI SWITZERLAND CAPPED,PCX
94IM.L,UDI/BARC BK 25 VRN,LSE
IDKO.L,ISHARES PLC ISHARES MSCI KOREA ,LSE
DEL2.HM,GO DAX DAILY 2 G-CT,HAM
INDX-68.TA,BASKT/INDEX SAL S68,TLV
CF1.PA,AM MSCI FRA UCI ETF,PAR
RVL.AX,RUSSELL AUSTRALIAN VALUE ETF,ASX
UC01.L,UBS(IRL)ETFPLC- MSCI USA INFR20/35$A-DIS,LSE
EXXY.DE,ISH DVCMSP T,GER
LCRW.L,OSSIAM LUX OSSIAM RISK WGHT COM,LSE
PSM.MI,POWSHS MID EAST USD,MIL
78BA.L,SZHUA/HSBC WT20,LSE
UEFR.F,UBS ETF MIE LC AD,FRA
XS8S.L,,
ETP.TO,FT GLOBAL RISK MANAGED INCOME ETF COM,TOR
HFD.TO,HORIZONSBETAPRO S&P;/TSX CAP F BEAR+ ETF,TOR
KX1G.F,A RATED GR UC ETF C,FRA
BOT-FP.PA,,
TCOIL-87.TA,TA-OG/TACH CMP S87,TLV
XSNR.MI,DBXT SE600 IG 1C,MIL
CSD,GUGGENHEIM SPIN-OFF ETF,PCX
X502.F,COMS ILSD1-3 IC,FRA
EUN1.HM,ISHS STOXX EURO EUR,HAM
DBX8.DU,DBXT MSCI KOREA 1C,DUS
18MJ.BE,AM MSCI GERM UC ETF,BER
JUNR,GLOBAL X JUNIOR MINERS ETF,PCX
SYBC.F,SPDR BAR COR BD EUR,FRA
FXB,CURRENCYSHARES BRITISH POUND STER ETF,PCX
IUSC.SG,ISHS MSCI EM L G-CT,STU
VPL,VANGUARD FTSE PACIFIC ETF,PCX
LYPM.DE,L U ETF E/N US D EU,GER
6AQQ.DU,AM NASD-100 ETF EUR,DUS
SCHX,SCHWAB US LARGE-CAP ETF,PCX
C100.F,COMS C EONIA IC,FRA
CEBM.SG,ISHS MSCI AU USD-AC,STU
RPV,GUGGENHEIM S&P; 500 PURE VALUE ETF,PCX
10ZB.L,NSGB/HSBC 14 ELN,LSE
ECOEUA.MI,UBS ETF MIE LC AD,MIL
USCI,UNITED STATES COMMODITY ETF,PCX
LTNG.L,CODEIS SECURITIES SA LYXOR ETN ,LSE
XMEA.L,DB X-TRACKERS DBX MSCI EMERGING,LSE
LYM8.BE,L U ETF W WAT D EUR,BER
H411.F,HSBC MSCI ACFE G-CT,FRA
46OI.L,TECH/HSBC BK 16 ELN,LSE
LONG-USD-F-S.ST,CURRENCY/SEB 20,STO
AMU,UBS ETRACS ALERIAN MLP ETN,PCX
DX2E.SG,DBX GLBL INFRA 1C,STU
GXG.MX,GLB X MSCI COLOMBIA,MEX
139250.KS,TIGER ENERGY&,KSC
IWV,ISHARES RUSSELL 3000,PCX
LYPP.SG,L U ETF GL DEV D EU,STU
VE44.BE,MKT VCTR EGYPT INDX,BER
C061.DE,COMS S600 AP IC,GER
BEAR-OBX-X3-DNM.OL,OBX/DNB 41 ETN,OSL
IBCA.DU,ISHS EU GOV BD G-CT,DUS
CI1.MI,AM MSCI IT MSCI ETF,MIL
AICB.SG,AVANA INT EUCTR R,STU
LYYR.F,L U ETF 600 F & BEV,FRA
UTIW.L,MULTI UNITS LUXEMBOURG LYXOR ET,LSE
EBND,SPDR BARCLAYS EMERGING MKTS LCL BD ETF,PCX
RZG,GUGGENHEIM S&P; SMALLCAP 600 PURE GR ETF,PCX
18MQ.F,A WLD EX EU ETF EUR,FRA
IUSA.MU,ISHS S&P500; USD,MUN
BOM,POWERSHARES DB BASE METALS DBLE SHRT ETN,PCX
XDEQ.F,DBX QA FC USD-1C-AC,FRA
IJPN.L,ISHARES PLC ISHARES MSCI JAPAN ,LSE
CYH-A.TO,ISHARES GLOBAL MONTHLY DIV IDX ,TOR
DBZJ.DE,DBXT SE600 BRS 1CC,GER
3001.HK,ISHARES CSI A-SHARE CONSMR DISCR,HKG
VIXM,PROSHARES VIX MID-TERM FUTURES,PCX
LYPB.F,MUL LY W CO STA CC,FRA
X4MC.DE,DBXT MSCI CHILE 1C,GER
ZGLDUS.SW,ZKB GOLD ETF AA USD,EBS
EXHJ.BE,IS EGBC5.5-10.5,BER
N400.L,SOURCE JPX-NIKKEI 400 ETF,LSE
6PSK.HM,POWSHS FTSE E-M EUR,HAM
LYQ2.SG,L UCITS 1-3Y INV GR,STU
DX2A.MU,DBXT SE6 OG SH 1C,MUN
540S.DE,AM GRAD 3-5 ETF C,GER
14547777.SW,UBS ETF MIE 510 AD,EBS
LQD,ISHARES IBOXX $ INVST GRADE CRP BOND,PCX
RTSE.MI,RBS M A TOP EUR C,MIL
CEBB.F,ISHS MSCI RU USD-AC,FRA
18MZ.F,A GR 5-7 UC ETF C,FRA
S2GBBH.SW,UBS ETF MS2035G AC,EBS
LYM6.SG,L UCITS 7-10Y IN GR,STU
HMFE.L,HSBC ETFS PLC HSBC MSCI EM FAR ,LSE
OSX2.DE,OL US MV UE1CC,GER
IPF,SPDR S&P; INTERNATIONAL FINCL SECT ETF,PCX
92JE.L,SAIC/HSBC WT19,LSE
138910.KS,KODEX COPPER FUTURES(H),KSC
49EE.L,CHONQ/HSBC 17,LSE
S6EW.MI,OL SE600 EW UE1CC,MIL
CID1.L,ISHARES VII PLC ISHARES DJ INDU,LSE
CINA.MI,L UCIT CH ENT C EUR,MIL
QQQ3.L,BOOST NASDAQ 100® 3X LEVERAGE DAILY ETP,LSE
195980.KS,ARIRANG SYNTH-EM(H),KSC
2632953.SW,L UC ETF E600 B RES,EBS
ETZ.PA,S E600 UC ETF C EUR,PAR
10280341.DU,DK MSCI JP MC,DUS
SD7C.HM,SEC SPDR HEALTH-SBI,HAM
IMET.L,IPATH S&P; GSCI INDUSMTLS IDX TR (DE) ETN,LSE
46UL.L,,
M9SY.F,RBS M A FR MKTS C,FRA
IWX,ISHARES RUSSELL TOP 200 VALUE,PCX
BJK,MARKET VECTORS GAMING ETF,PCX
X012.DU,COMS M EMU IC,DUS
DXET.DU,DBXT ES50 1C,DUS
LGQI.DE,MUL LY SG GQIN D,GER
LYAU2.SW,MUL LY ASPA200 D,EBS
17NG.L,BARCLAYS/BARCLAYS19,LSE
LSIL.MI,LSIL/ETFS,MIL
GGOV,PROSHARES GERMAN SOVEREIGN/SUB-SOVEREIGN,PCX
MDD,SPDR S&P; INTERNATIONAL MID CAP ETF,PCX
ZDY.TO,BMO US DIVIDEND ETF (CAD),TOR
EMEY,ISHARES MSCI EMERGING MKTS ENERGY CAPPED,PCX
XLDX.L,DB X-TRACKERS DBX LEVDAX DAILY ,LSE
JKD,ISHARES MORNINGSTAR LARGE-CAP,PCX
LGQI.DU,MUL LY SG GQIN D,DUS
LNY1.F,L U ETF T SEC C EUR,FRA
LEMB.L,LYXOR ETF IBOXX $ LIQUID EM SOVERGN A/I,LSE
XMRC.L,DB X-TRACKERS DBX MSCI RUSSIA 2,LSE
H410.F,HSBC MSCI EMER G-CT,FRA
SXR4.SG,ISHS MSCI US USD-AC,STU
SCHO,SCHWAB SHORT-TERM US TREASURY ETF,PCX
PC40.LS,COMS CAC 40 IC,LIS
19JZ.L,NTPC/HSBC 16,LSE
AGG,ISHARES CORE US AGGREGATE BOND,PCX
FDY-A.TO,FIRST TRUST ALPHADEX CDN DIV PL,TOR
ISQA.MU,ISH MSCI EAFE,MUN
DBPF.DE,DBXT ES50 LEV 1CC,GER
CD48.DE,COMS PSI 20 LEV IC,GER
SMLC.F,SOU CSOPCHA50 G-CT.,FRA
3630370.DE,UBS CAP SECS,GER
E2JA.BE,5.25 ERSTE FIN,BER
JPNS,DIREXION DAILY JAPAN BEAR 3X ETF,PCX
108271.L,ISH L MSCI EM C,LSE
XMKI.SG,DBXT MSCI EMIND 1C,STU
JYN.TO,IPATH JPY USD EXCH RATE ETN,TOR
AMEL.SG,A LAT AM UC ETF EUR,STU
LYMS.BE,L U ETF N-100 D EUR,BER
RGI,GUGGENHEIM S&P; 500 EQ WT INDLS ETF,PCX
CSEMU.MI,ISHS MSC EMU EUR-AC,MIL
FGM.MX,FRST TRST GM APHADX,MEX
VTS.AX,VANGUARD US TOTAL MARKET SHARES ETF,ASX
GGBP,ADVISORSHARES GARTMAN GOLD/BRITSH PD ETF,PCX
LCOP.MI,LCOP/ETFS,MIL
IUSM.DU,ISHS USD TRE B G-CT,DUS
VEFD.BE,MKT VCT VIETNAM ETF,BER
ISVF.BE,ISHS MSCI MAL ,BER
XY4P.HM,DBX ISE YP 1C,HAM
SXR2.MU,ISH MSCI CAN USD-AC,MUN
X504.DE,COMS ILSD5-7 IC,GER
XETL.MI,DBXT2 I EU5 DTR 1CC,MIL
PSDAX-57.TA,DAX/PSAGOT S57,TLV
IAUS.L,ISHARES III PLC ISHARES MSCI AU,LSE
XCBA.DE,DBXT2 I CR2DU 1CC,GER
IMEX.L,ISHARES MSCI MEXICO IMI CAPPED,LSE
LNZD.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
IS3X.MU,ISH EUR CRP BD EX F,MUN
TA100-50.TA,TA100/TACHLIT C S50,TLV
LYYX.DU,L UC ETF E600 B RES,DUS
DX2Z.DU,DBX SEL FRONTIER 1C,DUS
C543.DU,COMS IGCC 7-10 IC,DUS
DWOD.L,ISHARES GLOBAL TIMBER & FORESTRY,LSE
XI13.DE,DBX MTS ITALY 1-3 D,GER
VE.TO,VANGUARD FTSE DEVELOPED EUROPE ETF,TOR
AMEM.SG,A EM MKT UC ETF EUR,STU
091210.KS,TIGER KRX100 ETF,KSC
42BS.L,ALHOKAIR/HSBC 15ELN,LSE
PHSP.L,ETFS METAL SECURITIES LD ETFS P,LSE
161540.KS,ARIRANG IRON&METAL;,KSC
MSUE.L,"UBS AG, LONDON BRANCH",LSE
ISPA.HM,ISHSTGLSELD100,HAM
VUKE.L,VANGUARD FTSE 100 ETF,LSE
PME50-49.TA,SX5E/PSGT IND S49,TLV
KSST-145.TA,SXXR/KSM SAL S145,TLV
XMK3.SG,DBXT E/N DE RE 2C,STU
DBX8.HM,DBXT MSCI KOREA 1C,HAM
IUST.MU,ISHS USD TIPS G-CT,MUN
DXS8.MU,DBXT SE600 BKSH 1C,MUN
QDVD.F,ISHS MSCI IQ USD,FRA
540M.F,AM WLD FIN ETF EUR,FRA
LYY1.DU,L UC ETF EMU SM CAP,DUS
UIMV.HM,UBS ETF STO GRE AD,HAM
SXRQ.MU,ISHS EUR GOV EUR-AC,MUN
SYBB.F,SPDR BA EUR GOV EUR,FRA
IQQN.SG,ISHS MSCI NH AM G-C,STU
3614484.DU,DBXT DB HFI ETF 1C,DUS
IBCI.PA,ISH EU IN LI EUR-AC,PAR
CIE1.L,ISHARES VII PLC ISHARES EUR INF,LSE
91PE.L,TRIPOD/HSBC WT21,LSE
M9SE.MU,RBS M A DJ T20,MUN
IQQ7.F,ISHS US PRO YI G-CT,FRA
10LH.L,FRIEN/HSBC WT21,LSE
MBG,SPDR BARCLAYS MORTGAGE BACKED BOND ETF,PCX
IUSB.BE,ISHS GL TI & FO G-C,BER
15KV.L,FOOD/HSBC 16,LSE
IDXJ,MARKET VECTORS INDONESIA SMALL-CAP ETF,PCX
UIMX.SG,UBS ETF MEI2035 AD,STU
60RT.L,ACC/HSBC WT19,LSE
63XZ.L,NINGBOP/HSBC WT21,LSE
QEM,MARKET VECTORS MSCI EM QUALITY ETF,PCX
AIGI.MI,AIGI/ETFS,MIL
18M8.SG,AM EUR INDUS UC ETF,STU
CH5.MI,AM EU HEALTH UC ETF,MIL
3190442.BE,HYPO REAL VRN,BER
O120.L,ISHARES PLC ISHARES NIKKEI 225 ,LSE
GBUS.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
X60429.TI,BSKT/SG ISSUER 15,TLO
C052.DE,COMS ES50 D SH IC,GER
MXFS.L,SOURCE MARKETS PUBLIC LIMITED C,LSE
DXJT,"WISDOMTREE JPN HDGD TECH,MEDIA&TELEC; ETF",PCX
TMV,DIREXION DAILY 20+ YR TRSY BEAR 3X ETF,PCX
4621509.DU,DBX I ESFSD 1C,DUS
XB4F.MU,DBX IELCF 1C,MUN
153270.KS,IKON 100,KSC
78JW.L,HUATAI/HSBC WT20,LSE
IYJ,ISHARES US INDUSTRIALS,PCX
XSSX.SW,DBXT ES50 SH 1C,EBS
M9SH.BE,RBS M A D BRIC C,BER
AAEX.AS,AABF AEX ETF,AMS
LYQH.SG,L U ETF P AFR C EUR,STU
18433913.DU,8.5 BRAZIL 24 ,DUS
11KW.L,LPP/HSBC 15 ELN,LSE
CRB.PA,L UC ETF R/C C EUR,PAR
006201.TWO,YUANTA SECS INV TS P-SHARES TW ,TWO
11772504.DU,DBX IELCNF 1C,DUS
25116456.IR,VAN DEV WORLD USD,ISE
EXV8.DE,ISHSTEUCM(DE),GER
18MT.HM,AM CORP UCITS ETF C,HAM
D5BB.BE,DBXT2 I GU 1DD,BER
8523.DU,COMS ISGC10+ IC,DUS
XMEM.L,DB X-TRACKERS DBX MSCI EMERGING,LSE
PHAU.L,ETFS METAL SECURITIES LIMITED E,LSE
LYY2.F,L UCITS ETF MSCI,FRA
EES,WISDOMTREE SMALLCAP EARNINGS ETF,PCX
DXSE.F,DBXT SE600 HC 1C,FRA
18MX.DE,AM GR 1-3 UC ETF C,GER
IQQT.MU,ISHARES MSCI TA G-C,MUN
DXEL2.MC,DBXT ES50 LEV 1CC,MCE
UEFI.DE,UBS ETF BCU710Y AD,GER
LCFE.MI,LCFE/ETFS,MIL
SPY4.SG,SPDR S&P; 400 USD-AC,STU
JBSEEE.SW,J BAER S EQ EU SC,EBS
LSFT.MI,LSFT/ETFS,MIL
IBCI.AS,ISH EU IN LI EUR-AC,AMS
PDN,POWERSHARES FTSE RAFI DVMKT EXUS S/M ETF,PCX
IJPN.SW,ISHS MSCI JAPAN USD,EBS
PWV,POWERSHARES DYNAMIC LARGE CAP VALUE ETF,PCX
SZO,POWERSHARES DB CRUDE OIL SHORT ETN,PCX
ZPRC.SG,SPDR REU CON BD USD,STU
TTPX.SG,AM JAP TEHD UC ETF ,STU
3XHA.F,HYPO REAL VRN,FRA
H4ZC.DU,HSBC MSCI JAP G-CT,DUS
141250.KS,ARIRANG KRX100EW,KSC
ZID.TO,BMO INDIA EQUITY ETF,TOR
BAL,IPATH DJ-UBS COTTON SUBTR ETN,PCX
LYPM.DU,L U ETF E/N US D EU,DUS
EMHY.MX,ISHS EMMKT HYB,MEX
BJK.MX,MKT VECTORS GAMING,MEX
EUN6.HM,ISHS EUR GOV B G-CT,HAM
12429083.SG,BELGACOM 18 VRN,STU
21966705.SW,UBS ETF MC100HC AC,EBS
EMCB.L,SSGA SPDR ETFS EUROPE I PLC SPD,LSE
XDUK.DE,DBX FTSE100 DIR C,GER
UST.MI,L U ETF N-100 D EUR,MIL
C024.F,COMS FTSE CHA50 IC,FRA
VTV,VANGUARD VALUE ETF,PCX
ZGLDGB.SW,ZKB GOLD ETF AA GBP,EBS
IXJ,ISHARES GLOBAL HEALTHCARE,PCX
O007.L,ISHARES PLC ISHARES DIVDAX (OTC,LSE
IQQN.BE,ISHS MSCI NH AM G-C,BER
71QI.L,INDUSINDBK/HSBC 17,LSE
540L.F,A WLD ENERG ETF EUR,FRA
PMET.L,IPATH S&P; GSCI PREC MTLS IDX TR (DE) ETN,LSE
50OJ.L,BAJAJAUT/BARCLAYS17,LSE
IS0J.SG,ISHS FIN GOV B G-CT,STU
FEX,FIRST TRUST LARGE CAP CORE ALPHADEX ETF,PCX
HUSE,HUNTINGTON US EQUITY ROTATION STRAT ETF,PCX
GBSS.L,GOLD BULLION SECURITIES LD (GBS,LSE
HRIXT-87.TA,IXT/HAREL SAL S87,TLV
0080.TW,HANG SENG INV MGT HANG SENG H S,TAI
GGW8.MU,SAUR F-S GL ST G DD,MUN
TLTD,FLEXSHARES MSTAR DEVMKS EXUS FCTTILT ETF,PCX
EWP,ISHARES MSCI SPAIN CAPPED,PCX
EWCS,ISHARES MSCI CANADA SMALL-CAP,PCX
091230.KS,TIGER SEMICON ETF,KSC
3OIL.L,BOOST WTI OIL 3X LEVERAGE DAILY ETP,LSE
EXH6.MU,ISHSEU600MED,MUN
ENZL.MX,ISH MSCI NZ CP,MEX
WREI,WILSHIRE US REIT ETF,PCX
STS.PA,SSGA MSCI ST EUR-AC,PAR
DX2J.DU,DBXT MSCI EU SM 1C,DUS
VUS.TO,VANGUARD US TOTAL MARKET ETF CAD-H,TOR
PSGA.L,POWERSHARES GLBAL FUNDS IRELAND,LSE
1644700.SW,L UCITS MSCI EMU,EBS
WBID,WBI SMID TACTICAL SELECT ETF,PCX
BR50.MI,ISHS BRIC 50 USD ,MIL
73MD.L,CGC/HSBC 16 VRN,LSE
UC61.L,UBS ETF UBS ETF-MSCI JAPAN HEDG,LSE
39AZ.L,PUDO/HSBC WT19,LSE
IS0M.SG,ISHS ITL GOV B G-CT,STU
PPLT,ETFS PHYSICAL PLATINUM,PCX
EXXU.DU,ISHS DJCHOFSH50,DUS
XG7S.L,DB X-TRACKERS II DBXT GLOBAL SO,LSE
MIVO.L,AMUNDI ETF MSCI EUROPE MINIMUM VOL A/I,LSE
SPYD.HM,SPDR S&P; US DIV USD,HAM
X7S.PA,DBXT SE600 BKSH 1C,PAR
X58548.TI,EUR/TRY/SG ISSUER18,TLO
XWID.L,DB X-TRACKERS DBX MSCI WORLD IN,LSE
KCSVE5KSHB.ST,OMXS30/SHB CT 15,STO
FFVX,UBS E-TRACS DLY SH 6MO S&P500; VIX FU ETN,PCX
IUTCF.PK,IUNITS S&P;/TSX GLOBA,PNK
XBAT.DU,DBX SOV EUR AAA 1C,DUS
94UR.L,OGI/HSBC WT20,LSE
PST75-17.TA,TA75/PSAGOT BAS S17,TLV
RWW.TO,FIRST ASSET MSCI WLD LRWGT ETF CADH COMM,TOR
EL49.SG,DK LQ CORP DF,STU
FKU,FIRST TRUST UNITED KINGDOM ALPHADEX ETF,PCX
EXSD.MU,ISHSSTXEUMD200,MUN
DBX4.HM,DBXT MSCI EMEA 1C,HAM
10640619.SW,JB PHYSSILVERAX CHF,EBS
XCT9.L,DB ETC INDEX PLC DB WTI CRUDE O,LSE
IUS8.DU,ISHS EM MK INFR G-C,DUS
18M2.DE,A EMU HI DIV UC ETF,GER
6PSG.DE,POWSHS GLO ENER EUR,GER
AMEL.F,A LAT AM UC ETF EUR,FRA
EUCHBH.SW,UBS ETF ME100HC AC,EBS
YXM-B.TO,FA MORNINGSTAR US MOMENTUM UNHD,TOR
D5BB.DU,DBXT2 I GU 1DD,DUS
RU2K.L,LYXOR INTERNATIONAL ASSET MANAG,LSE
XCSD.MI,DBXT2 AUD CASH 1C,MIL
INDA.MX,ISHS MSCI INDIA ETF,MEX
H4ZK.F,HSBC MSCI TURK G-CT,FRA
FVI,FIRST TRUST VALUE LINE EQUITY ALLC ETF,PCX
M9SC.MU,RBS M A RICI M C,MUN
FPX,FIRST TRUST US IPO ETF,PCX
EWY.MX,ISHS MSCI S KOR CAP,MEX
GURI,GLOBAL X GURU INTERNATIONAL ETF,PCX
EMMV.SW,OL EM MV UE1CC,EBS
SCO,PROSHARES ULTRASHORT BLOOMBERG CRUDE OIL,PCX
PSRUSA.SW,UBS ETF M PA SR AD,EBS
HAO,GUGGENHEIM CHINA SMALL CAP ETF,PCX
1974776.F,DZ BK CAP FUND FRN,FRA
KSPB-120.TA,SPBMV/KSM SAL S120,TLV
IEGE.MI,ISHS EUR GOV BD EUR,MIL
DCNG,IPATH SEASONAL NATURAL GAS ETN,PCX
DBPS.SG,DBXT MSCI W HC 1C,STU
IBCX.MI,ISH EU CO BN LA EUR,MIL
X61212.TI,4.3 BSKT/SG ISSUE20,TLO
XMAS.MI,DBXT MSCI EM AS 1C,MIL
22349088.DU,CREDIT SUISSE 25VRN,DUS
12899175.DU,DBXT MSCI AFT50 1C,DUS
MDRI.AS,RBS M A D RUSS C,AMS
IQQ5.DE,ISHS MSCI TURK G-CT,GER
EUSA,ISHARES MSCI USA,PCX
XECS.L,DB X-TRACKERS DBX MSCI EM CONSU,LSE
EL44.F,DK MSCI JP ETF,FRA
EL4L.DU,DK IB LSD 1-3,DUS
BEL.BR,LYX U ETF BEL 20 TR,BRU
U11.PA,N11 EM T E UC ETF U,PAR
20955585.DU,DIB SUKUK SR,DUS
DHS.MX,WT EQ INCOME-SBI,MEX
RALS,PROSHARES RAFI LONG/SHORT,PCX
IQQD.DU,ISHS UK DIVID G-CT,DUS
EXW3.HM,ISHS STXEUR50,HAM
PXI,POWERSHARES DWA ENERGY MOMENTUM ETF,PCX
SEA,CLAYMORE/DELTA GLOBAL SHIPPING,PCX
DBXX.MU,DBXT FTSE 100 1D,MUN
TCBI-105.TA,NBI/TACH COMP S 105,TLV
LYSEL.SW,L UC ETF SEL DIV 30,EBS
MSUU.L,"UBS AG, LONDON BRANCH",LSE
SHORT-USD-D-S.ST,CURRENCY/SEB CT 20,STO
KXI.MX,ISHS GLB CON STPL,MEX
XDBC.L,,
37PD.L,AUROPHARMA/HSBC17,LSE
IQQK.SG,ISHS MSCI KOR G-CT,STU
H4ZC.HM,HSBC MSCI JAP G-CT,HAM
BWZ,SPDR BARCLAYS SHORT TERM INTLTRS BD ETF,PCX
D5BL.SG,DBXT MSCI EU VA 1C,STU
AIGO.L,ETFS COMMODITY SECURITIES LIMIT,LSE
XLVP.L,SOURCE HEALTH CARE S&P; US SEL SECT ETF,LSE
10ZC.L,PIOH/HSBC 14 ELN,LSE
UC74.L,UBS ETF (IE) MSCI USA HEDGED GBP ACC,LSE
RWM,PROSHARES SHORT RUSSELL2000,PCX
XCS6.L,DB X-TRACKERS DBX MSCI CHINA ET,LSE
XEL2.L,DB X-TRACKERS DBX EURO STOXX 50,LSE
IS01.MU,ISH MSCI WO MI USD,MUN
WLDR.PA,MUL LY W RISK W CC,PAR
EXXT.DU,ISHS NASDAQ-100,DUS
DX2X.DE,DBXT STO E 600 1C,GER
IJPN.AS,ISHS MSCI JAPAN USD,AMS
18MS.DE,AM EU STX 50 UC ETF,GER
